,Company,Experience,Link,Location,Skills,Title
57,Careernet Technologies Pvt Ltd,2-7 yrs,https://www.naukri.com/job-listings-Digital-Analyst-Careernet-Technologies-Pvt-Ltd-Bengaluru-2-to-7-years-090419000470?src=jobsearchDesk&sid=15614536099159&xp=8&px=2,Bengaluru,"digital marketing, digital analytics, omniture, web analytics...",Digital Analyst
58,Careernet Technologies Pvt Ltd,3-8 yrs,https://www.naukri.com/job-listings-Analyst-Careernet-Technologies-Pvt-Ltd-Bengaluru-3-to-8-years-020519000660?src=jobsearchDesk&sid=15614536099159&xp=9&px=2,Bengaluru,"SQL, Tableau, Data Analysis, Report Generation, MIS Reporting...",Analyst
59,Career Marshal ( A Group Company of Seventy9 Deals India Pvt Ltd.),3-6 yrs,https://www.naukri.com/job-listings-Leading-BPO-Hiring-Speech-Analytics-quality-Analyst-Gurgaon-8-lpa-Career-Marshal-A-Group-Company-of-Seventy9-Deals-India-Pvt-Ltd-Gurgaon-3-to-6-years-200619001480?src=jobsearchDesk&sid=15614536099159&xp=10&px=2,Gurgaon,"uk shift, speech analytics, speech data analytics, Data Analytics...",Leading BPO Hiring Speech Analytics/quality Analyst - Gurgaon - 8 lpa
60,Global Tech Solution,1-5 yrs,https://www.naukri.com/job-listings-Home-Based-PART-TIME-Data-Entry-Computer-Operator-Online-Work-Apply-Global-Tech-Solution-Roorkee-Rudrapur-Srinagar-Visakhapatnam-Vijayawada-Varanasi-Shimla-Thane-Trivandrum-1-to-5-years-240619008798?src=jobsearchDesk&sid=15614536099159&xp=11&px=2,"Roorkee, Rudrapur, Srinagar, Visakhapatnam, Vijayawada, Varanasi, Shimla, Thane, Trivandrum","Computer Operating, Data Entry, Present Job, Part Time, Data Processing...",Home Based PART TIME Data Entry Computer Operator Online Work Apply
61,Live connections,1-3 yrs,https://www.naukri.com/job-listings-Hiring-for-MIS-Executive-BPO-Hyderabad-Live-connections-Hyderabad-Gachibowli-1-to-3-years-240619003540?src=jobsearchDesk&sid=15614536099159&xp=12&px=2,Hyderabad(Gachibowli),"macros, mis, MIS Executive, mis coordinator, mis analyst, data analyst...","Hiring for MIS Executive @ BPO, Hyderabad"
62,ManpowerGroup Services India Private Limited,1-3 yrs,https://www.naukri.com/job-listings-Urgent-MIS-Executive-global-Clients-Handling-ManpowerGroup-Services-India-Private-Limited-Hyderabad-1-to-3-years-240619007856?src=jobsearchDesk&sid=15614536099159&xp=13&px=2,Hyderabad,"Excel, Powerpoint, Email Writing, Connect, MIS, Data Management...",Urgent - MIS Executive (global Clients Handling)
63,Mississippi Consultants LLP,3-8 yrs,https://www.naukri.com/job-listings-Data-Scientist-data-Analyst-R-python-Machine-Learning-Mississippi-Consultants-LLP-Pune-3-to-8-years-200619901754?src=jobsearchDesk&sid=15614536099159&xp=14&px=2,Pune,"Machine Learning, Hadoop, jQuery, Python, Data Scientist, NoSQL...",Data Scientist/data Analyst - R/python & Machine Learning
64,Mississippi Consultants LLP,5-8 yrs,https://www.naukri.com/job-listings-Business-Analyst-Data-Analytics-Expert-R-Python-Matlab-Mississippi-Consultants-LLP-Pune-5-to-8-years-190619901563?src=jobsearchDesk&sid=15614536099159&xp=15&px=2,Pune,"Business Analyst, R, Python, MATLAB, SQL, Data Modeling, Data Mining...",Business Analyst/ Data Analytics Expert - R/ Python/ Matlab
65,Mississippi Consultants LLP,10-15 yrs,https://www.naukri.com/job-listings-Data-Scientist-data-Analyst-R-python-Machine-Learning-Mississippi-Consultants-LLP-Pune-10-to-15-years-190619900904?src=jobsearchDesk&sid=15614536099159&xp=16&px=2,Pune,"Machine Learning, Hadoop, jQuery, Python, Data Scientist, NoSQL...",Data Scientist/data Analyst - R/python & Machine Learning
66,PANACEA MANPOWER SERVICES,0-1 yrs,https://www.naukri.com/job-listings-Hiring-for-back-Office-Excel-Data-Entry-Analyst-Delhi-PANACEA-MANPOWER-SERVICES-Delhi-NCR-0-to-1-years-230619000674?src=jobsearchDesk&sid=15614536099159&xp=17&px=2,Delhi NCR,"Field Sales, Excel, Data Entry, Back Office, Data Analysis...","Hiring for back Office, Excel, Data Entry, Analyst- Delhi"
67,SLA Consultants India,0-5 yrs,https://www.naukri.com/job-listings-Govt-MNC-Data-Entry-Operator-Back-end-Operation-Executive-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-230619000099?src=jobsearchDesk&sid=15614536099159&xp=18&px=2,"Delhi NCR, Gurgaon, Noida","office administration, backend, back office, front desk, data entry, typing...",Govt. & MNC Job - Data Entry Operator  | Back-end Operation Executive
